Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Month,Hour
2023-01-01T00:00:00Z,02:22:00,Sunday,MUSEUM STATION,MUPAA,3,9,S,YU,5931,January,2
2023-01-01T00:00:00Z,02:30:00,Sunday,KIPLING STATION,MUIS,0,0,E,BD,5341,January,2
2023-01-01T00:00:00Z,02:33:00,Sunday,WARDEN STATION,SUO,0,0,W,BD,Invalid,January,2
2023-01-01T00:00:00Z,03:17:00,Sunday,KEELE STATION,MUIS,0,0,Invalid,BD,Invalid,January,3
2023-01-01T00:00:00Z,07:16:00,Sunday,BATHURST STATION,MUIS,0,0,Invalid,BD,Invalid,January,7
2023-01-01T00:00:00Z,07:44:00,Sunday,JANE STATION,MUNCA,0,0,Invalid,BD,Invalid,January,7
2023-01-01T00:00:00Z,07:50:00,Sunday,WOODBINE STATION,MUNCA,0,0,Invalid,BD,Invalid,January,7
2023-01-01T00:00:00Z,08:02:00,Sunday,VAUGHAN MC STATION,TUNOA,6,12,S,YU,5451,January,8
2023-01-01T00:00:00Z,08:11:00,Sunday,GREENWOOD STATION,MUNOA,5,10,E,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:13:00,Sunday,ROYAL YORK STATION,EUSC,0,0,W,BD,5031,January,8
2023-01-01T00:00:00Z,08:15:00,Sunday,KEELE STATION,TUNOA,5,10,W,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:16:00,Sunday,GREENWOOD STATION,TUNOA,5,10,E,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:19:00,Sunday,DONLANDS STATION,TUNOA,4,8,W,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:21:00,Sunday,GREENWOOD STATION,TUNOA,5,10,E,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:24:00,Sunday,EGLINTON STATION,SUG,6,12,S,YU,5771,January,8
2023-01-01T00:00:00Z,08:31:00,Sunday,GREENWOOD STATION,TUNOA,4,8,E,BD,Invalid,January,8
2023-01-01T00:00:00Z,08:38:00,Sunday,EGLINTON STATION,TUNOA,6,12,N,YU,6131,January,8
2023-01-01T00:00:00Z,08:44:00,Sunday,SHEPPARD WEST STATION,TUNOA,6,12,N,YU,5851,January,8
2023-01-01T00:00:00Z,10:54:00,Sunday,EGLINTON STATION,PUSRA,4,8,S,YU,5851,January,10
2023-01-01T00:00:00Z,11:54:00,Sunday,DONLANDS STATION,TUNIP,3,7,W,BD,5077,January,11
2023-01-01T00:00:00Z,12:28:00,Sunday,ISLINGTON STATION,MUIRS,0,0,Invalid,BD,Invalid,January,12
2023-01-01T00:00:00Z,13:14:00,Sunday,FINCH STATION,PUMEL,0,0,Invalid,YU,Invalid,January,13
2023-01-01T00:00:00Z,13:30:00,Sunday,DUNDAS WEST STATION,MUPAA,0,0,E,BD,5068,January,13
2023-01-01T00:00:00Z,14:39:00,Sunday,DAVISVILLE STATION,SUDP,4,8,N,YU,5546,January,14
2023-01-01T00:00:00Z,15:21:00,Sunday,ROYAL YORK STATION,EUSC,0,0,E,BD,5031,January,15
2023-01-01T00:00:00Z,15:55:00,Sunday,PIONEER VILLAGE STATIO,MUSAN,5,9,S,YU,5636,January,15
2023-01-01T00:00:00Z,16:13:00,Sunday,SHEPPARD WEST STATION,SUDP,6,10,S,YU,5451,January,16
2023-01-01T00:00:00Z,16:50:00,Sunday,SHERBOURNE STATION,MUIRS,0,0,Invalid,BD,Invalid,January,16
2023-01-01T00:00:00Z,17:00:00,Sunday,KING STATION,MUNCA,0,0,Invalid,YU,Invalid,January,17
2023-01-01T00:00:00Z,17:07:00,Sunday,ROYAL YORK STATION,EUSC,0,0,W,BD,5031,January,17
2023-01-01T00:00:00Z,17:27:00,Sunday,GREENWOOD STATION,SUDP,9,13,W,BD,5371,January,17
2023-01-01T00:00:00Z,18:19:00,Sunday,GREENWOOD STATION,MUNCA,0,0,Invalid,BD,Invalid,January,18
